tourney_id,tourney_name,tourney_spectators,year
2016-7494/C/barletta ch,Barletta CH,3900,2016
2016-W-C10-FRA-08A-2016/10/dijon $10k,Dijon $10K,3899,2016
2016-W-C10-KAZ-04A-2016/10/astana $10k,Astana $10K,3898,2016
2016-W-C10-TUN-09A-2016/10/hammamet $10k,Hammamet $10K,3898,2016
2016-7474/C/rio de janeiro ch,Rio de Janeiro CH,3896,2016
2016-W-C50-CHN-04A-2016/50/zhengzhou $50k,Zhengzhou $50K,3890,2016
2016-6239/C/quimper ch,Quimper CH,3885,2016
2016-3463/C/milan ch,Milan CH,3884,2016
2016-W-C10-TUR-25A-2016/10/antalya $10k,Antalya $10K,3879,2016
2016-7540/C/bastad ch,Bastad CH,3867,2016
2016-7339/C/fairfield ch,Fairfield CH,3859,2016
2016-W-C25-USA-03A-2016/25/sunrise fl $25k,Sunrise FL $25K,3855,2016
2016-W-C25-CAN-02A-2016/25/gatineau $25k,Gatineau $25K,3855,2016
2016-W-C10-TUN-21A-2016/10/hammamet $10k,Hammamet $10K,3850,2016
2016-W-C25-BRA-02A-2016/25/bertioga $25k,Bertioga $25K,3832,2016
2016-W-C50-HUN-01A-2016/50/szeged $50k,Szeged $50K,3831,2016
2016-7085/C/biella ch,Biella CH,3829,2016
2016-M052/A/rio de janeiro,Rio de Janeiro,3827,2016
2016-M052/I/rio de janeiro,Rio de Janeiro,3827,2016
2016-W-C10-FRA-03A-2016/10/saint martin guadeloupe $10k,Saint Martin Guadeloupe $10K,3824,2016
2016-6114/C/kazan ch,Kazan CH,3824,2016
2016-W-C10-EGY-18A-2016/10/sharm el sheikh $10k,Sharm El Sheikh $10K,3821,2016
2016-7009/C/aix en provence ch,Aix en Provence CH,3810,2016
2016-W-C10-TUR-24A-2016/10/antalya $10k,Antalya $10K,3808,2016
2016-W-C10-TUN-11A-2016/10/hammamet $10k,Hammamet $10K,3802,2016
2016-7555/C/qingdao ch,Qingdao CH,3799,2016
2016-W-C10-TUR-41A-2016/10/antalya $10k,Antalya $10K,3787,2016
2016-W-C25-IND-03A-2016/25/pune $25k,Pune $25K,3782,2016
2016-1005/I/rabat,Rabat,3781,2016
2016-W-C10-SRB-05A-2016/10/vrnjacka banja $10k,Vrnjacka Banja $10K,3778,2016
2016-W-C10-KOR-07A-2016/10/yeongwol $10k,Yeongwol $10K,3768,2016
2016-W-C10-GBR-04B-2016/10/roehampton $10k,Roehampton $10K,3765,2016
2016-7351/C/monterrey ch,Monterrey CH,3762,2016
2016-7480/A/los cabos,Los Cabos,3760,2016
2016-W-C10-THA-03A-2016/10/hua hin $10k,Hua Hin $10K,3760,2016
2016-W-C10-ITA-06A-2016/10/santa margherita di pula $10k,Santa Margherita Di Pula $10K,3760,2016
2016-W-C10-FIN-02A-2016/10/savitaipale $10k,Savitaipale $10K,3756,2016
2016-1050/I/hobart,Hobart,3750,2016
2016-W-C10-TUN-07A-2016/10/hammamet $10k,Hammamet $10K,3749,2016
2016-7393/C/canberra ch,Canberra CH,3748,2016
2016-W-C25-IND-01A-2016/25/aurangabad $25k,Aurangabad $25K,3745,2016
